dx,dy,dz,critical
0.894427190999916,0,-0.447213595499958,0.025
0.826342975086386,0.342282467452514,-0.447213595499958,0.0325
0.632455532033676,0.632455532033676,-0.447213595499958,0.035
0.342282467452514,0.826342975086386,-0.447213595499958,0.0325
5.47678698264203e-17,0.894427190999916,-0.447213595499958,0.025
-0.342282467452514,0.826342975086386,-0.447213595499958,0.025
-0.632455532033676,0.632455532033676,-0.447213595499958,0.025
-0.826342975086386,0.342282467452514,-0.447213595499958,0.025
-0.894427190999916,1.09535739652841e-16,-0.447213595499958,0.025
-0.826342975086386,-0.342282467452513,-0.447213595499958,0.03
-0.632455532033676,-0.632455532033676,-0.447213595499958,0.04
-0.342282467452514,-0.826342975086385,-0.447213595499958,0.03
-1.64303609479261e-16,-0.894427190999916,-0.447213595499958,0.03
0.342282467452514,-0.826342975086386,-0.447213595499958,0.03
0.632455532033676,-0.632455532033676,-0.447213595499958,0.025
0.826342975086385,-0.342282467452514,-0.447213595499958,0.025
1,0,0,0.025
0.923879532511287,0.38268343236509,0,0.025
0.707106781186548,0.707106781186547,0,0.0325
0.38268343236509,0.923879532511287,0,0.025
6.12323399573677e-17,1,0,0.025
-0.38268343236509,0.923879532511287,0,0.025
-0.707106781186547,0.707106781186548,0,0.0225
-0.923879532511287,0.38268343236509,0,0.0225
-1,1.22464679914735e-16,0,0.025
-0.923879532511287,-0.38268343236509,0,0.025
-0.707106781186548,-0.707106781186547,0,0.035
-0.38268343236509,-0.923879532511287,0,0.025
-1.83697019872103e-16,-1,0,0.025
0.38268343236509,-0.923879532511287,0,0.025
0.707106781186547,-0.707106781186548,0,0.0225
0.923879532511287,-0.38268343236509,0,0.0225
0.894427190999916,0,0.447213595499958,0.025
0.826342975086386,0.342282467452514,0.447213595499958,0.03
0.632455532033676,0.632455532033676,0.447213595499958,0.035
0.342282467452514,0.826342975086386,0.447213595499958,0.03
5.47678698264203e-17,0.894427190999916,0.447213595499958,0.025
-0.342282467452514,0.826342975086386,0.447213595499958,0.025
-0.632455532033676,0.632455532033676,0.447213595499958,0.025
-0.826342975086386,0.342282467452514,0.447213595499958,0.025
-0.894427190999916,1.09535739652841e-16,0.447213595499958,0.025
-0.826342975086386,-0.342282467452513,0.447213595499958,0.03
-0.632455532033676,-0.632455532033676,0.447213595499958,0.035
-0.342282467452514,-0.826342975086385,0.447213595499958,0.03
-1.64303609479261e-16,-0.894427190999916,0.447213595499958,0.03
0.342282467452514,-0.826342975086386,0.447213595499958,0.025
0.632455532033676,-0.632455532033676,0.447213595499958,0.025
0.826342975086385,-0.342282467452514,0.447213595499958,0.025
0,0,1,0.2775
0,0,-1,0.215
